Run,Points Evaluated,Binding ddG,Folding ddG
0,11,-0.1880950053146648,16.248841525671576
0,61,-0.37470249509637404,18.887103464722184
0,98,-0.1222043595363781,16.472405822603882
0,93,-0.0037519242317216317,17.947622082222374
0,8,-0.4146408472088946,23.644622158121113
0,7,-0.21099848468482676,17.487361249024943
0,12,0.30721235171525524,17.856618026165833
0,10,-0.1877118732987972,17.957377881497806
0,60,0.1340552659060969,21.395998258888238
0,97,-0.3240363001420649,24.049888182235765
0,9,-0.09169019869216295,22.677276855966813
0,99,-0.2844172313813639,11.902148261937478
0,100,-0.2192598140333757,23.2347827140216
0,62,-1.690512589995056,18.53959548946356
0,63,-0.14344282538805983,22.570845446196373
0,6,-0.030298856331739885,23.59211735909316
0,1,2.0188716344125055,21.98227012291737
0,95,-0.19515235705479683,18.86713499648426
0,102,-0.30794851473664103,19.132857071669378
0,104,-0.18796008872743636,11.930027387529638
1,71,-0.030389808486120256,19.6554985851047
1,48,-0.23737208901975465,30.646893638088713
1,60,0.0915157824156267,21.18148619088639
1,117,-0.17541064526687933,21.790693725663534
1,75,-0.27814066493783685,16.656881965750042
1,80,-0.22432291374129165,16.423727593126287
1,79,-0.016835251292962154,31.696805485311113
1,81,-0.33689452981360546,17.59677474416109
1,82,0.49827480407642116,8.955314913190705
1,83,-0.011674747782384037,16.787451586315076
1,74,-0.20565030878053997,18.628672085086563
1,84,0.30115110055248806,11.881471804436337
1,85,-0.240604190309341,12.822585167447743
1,86,-0.2149792088718771,19.995972070787147
1,76,-0.2148493223933201,17.839042157462423
1,68,-0.2655746531583125,25.866747420154702
1,73,-0.1398958203227494,16.24666193355294
1,72,-0.057531275426583726,20.475732593316152
1,89,-0.11160882280432811,17.089873889814424
1,90,-0.21192884897378203,28.98047192633309
2,26,0.893428113945447,26.661763188812202
2,101,-0.23720895991897348,13.404321226436853
2,30,-0.28061172844984733,13.58034691437279
2,58,0.11809893036396107,16.85525135756989
2,3,-0.3437846567827023,14.172790009161872
2,102,0.35133263428302336,18.295621244290007
2,100,-0.0021533795660226363,23.485986101550125
2,29,-0.2631999459644508,30.207595963908336
2,2,0.006367440966576913,22.98337638400171
2,4,-0.03687819934028385,21.451798069373858
2,31,-0.03301785296098384,14.153662192732655
2,6,-0.06769993711492359,21.926138267181916
2,5,-0.06502895917441263,17.03900903351463
2,7,-0.3114210987633409,17.639747110139044
2,8,-0.32372607252690005,24.751548111337645
2,9,0.2900896262882498,24.481570593852567
2,33,-0.2209462705090118,13.143722077806464
2,28,0.09523853832054856,12.918017938779435
2,34,-0.004694540654782022,28.90645690993405
2,32,0.008543432294572998,15.253410133991768
3,85,-0.2260084680310683,11.594947864666462
3,6,-0.027904999361226143,40.77283853377571
3,7,-0.19244378344609456,16.099462177402554
3,44,-0.2078718567419173,19.580431756481378
3,103,-0.2710099444079219,24.928018936284616
3,84,-0.003062581453312801,12.88364202231623
3,86,-0.2231476801551772,19.253474221385787
3,102,-0.18092635816032043,13.936018890563446
3,83,-0.2193028011405918,18.849375571418047
3,101,-0.34560445919266514,15.664238750745401
3,100,0.434010898644101,26.995610426593732
3,8,-0.25484678045177134,20.44815087923712
3,82,0.05183696809422144,8.670355247068528
3,81,0.01117002734398351,16.914483891846075
3,80,-0.11640946922502084,14.957671877100564
3,79,-0.07060923840890608,35.55831555415474
3,87,-0.08516108480228013,13.419234131762096
3,88,0.1951588996622983,26.740164246188744
3,43,-0.11464987189756352,18.441248836631
3,42,-0.15823844135428541,19.60369473156384
4,14,0.19308684094057754,16.16906572148476
4,3,-0.3288380923402201,17.131552988189924
4,27,-0.0904734299222127,21.951732349937906
4,17,-0.06894436576346509,8.305561805286313
4,20,-0.28208118379512825,25.89203387033048
4,18,-0.05259013696365854,9.517717655646164
4,16,-0.06912179143766173,15.017119822956046
4,6,0.40748448379548563,30.86650404757218
4,15,-0.05729436373546073,16.812559902347807
4,1,2.155013323127605,21.594829742830296
4,12,-0.010539995111867049,14.52973718451368
4,13,-0.2433813847773649,20.933459392907125
4,11,-0.025760484565978452,18.438655827904338
4,80,0.45020528751265376,18.1238900353969
4,83,-0.2393162051475883,14.982205286483577
4,84,-0.15657795990915696,13.083627424355427
4,85,-0.16752777379696224,11.855700154371132
4,86,-0.255523327580363,18.09208557343762
4,82,0.3685942936404899,12.23668003807461
4,81,-0.3416289397298117,16.291765625518288
