Points Evaluated,Binding ddG,Folding ddG
58,0.1188470051789149,15.916971051464172
12,0.032516305508596396,16.90958495795633
43,-0.07447560095193288,18.94506006070802
90,-0.27738635705502374,24.836473527517477
108,-0.08298080369336562,23.8983137829351
115,-0.22341633575370165,19.486970057132833
119,-0.2105923679696554,17.617761389182622
104,-0.20562419336152019,15.647758451867446
41,-0.03667502952249397,24.234229458656632
116,-0.17413235360178392,17.388259384989677
44,-0.13049777465665519,21.151266620787883
88,-0.03125809906903256,24.768386348123066
107,-0.11779024861577991,16.933859432866193
89,-0.03674146758554081,17.706587072797575
75,-0.16213344206777527,16.53698345979079
