Points Evaluated,Binding ddG,Folding ddG
24,0.6765134376374508,33.51675883996822
87,0.03430589518813158,7.8885325274985805
19,-0.19297683999169746,9.1120703495322
75,-0.04356186840175044,10.52529382846308
102,-0.20457075067058858,11.956282001924551
23,-0.13815834476612088,8.766846440782889
25,-0.16569430082713452,12.917508715771199
1,2.188326896006566,17.95867821732253
2,0.01469335566135174,14.672853458058558
3,-0.18771410696189147,11.151463515922872
5,-0.16394464396247413,11.237969014855521
7,-0.14724153704669837,12.317948509651691
9,0.1147291331533742,26.413307734098964
10,-0.07388497480466287,14.506578232635366
8,-0.1749092134390119,16.5670041759998
