Points Evaluated,Binding ddG,Folding ddG
44,-0.3390740019647084,17.79300645148978
81,0.022873328249293716,16.12042310174552
80,0.5238717334827925,13.174841869676175
23,0.7721506921422944,11.065909591035188
30,-0.020130012865218518,15.863664700887352
119,-0.2881862439662852,13.731938051642366
115,-0.3633322897288546,16.976825333678917
116,-0.2767117677321948,13.357511776974267
41,-0.3409550375290564,18.95130554439758
104,-0.3500601505619822,10.108753733439569
118,-0.3696332130704718,16.740792218604618
117,-0.3665131975714592,15.33173137031199
43,-0.3264933188400629,14.799860907678505
1,2.1456779160440194,17.959724569328902
88,-0.36855129408264475,13.094120726156719
114,-0.3512495794667475,10.883356730363623
107,-0.24372966727476245,12.165882137490842
89,0.00911261517584488,13.380743008723009
110,-0.2995947955542264,16.21765458190601
13,-0.330907086739006,16.289290694527146
25,0.5268175230109288,13.446656093289418
87,-0.28103892947944165,10.004145951176437
75,-0.28190328618648375,12.524768695592927
14,-0.3890814845305431,11.448587986711262
5,-0.25116115662856375,13.3961881315986
85,-0.421100318653701,11.59567940450861
76,0.07928669075552838,14.693108604804154
7,-0.2798205339727752,14.195078053816761
62,-0.22485214636452316,14.818642321887046
11,-0.26370889671430103,14.911165754020962
2,-0.06839116986436071,17.121758403095903
91,-0.20275720873006198,13.774026751656455
3,-0.47098907816273367,12.924259007205364
45,-0.3617382267541524,19.704187451021358
112,-0.23951308089016055,13.79734355253629
42,-0.3397952241777958,17.069504274750656
19,0.6723645403530819,12.33601557909839
39,-0.016201880198518922,16.223748439007554
105,-0.3113578120200264,18.70502174491997
12,-0.1336324081695553,13.543775882883113
101,-0.482220301021184,12.49088314088289
102,-0.526611710945592,13.501916484464436
28,0.3418732817799001,12.973733681261722
17,0.4836398337978081,7.834303315742
93,-0.10398639293751127,17.439414375623087
77,-0.2153597178213377,4.118540377220848
84,0.0952109366112634,9.965330247823498
46,-0.4310875948413427,12.667588047216448
40,0.1949481102754448,11.537992121244459
15,-0.24723930448333384,13.016049849574339
10,-0.21253998698950288,14.62996427119418
63,-0.11583648534789111,18.225194881356643
113,0.8698960478149318,39.79765308250515
71,0.49301197033587413,15.163157034469698
65,0.0680570495904843,17.20397430620601
109,0.052286481606557814,8.195260442818881
16,-0.2880994693372048,11.800737087026603
26,0.05421189805215714,23.81748695312514
106,-0.27076565590114526,12.715465758295485
21,-0.23013087715493052,8.656396979416604
69,-0.43291633567406507,10.20997008603612
59,-0.4682293162354654,13.742939206742259
95,0.22973691119116463,17.227524319212254
92,-0.47435313725265116,19.426725301248908
9,-0.037452450313570515,33.42317452687174
